#x [m]T Exact [C]T Computed [C]
0.006667 0.999123 -nan
0.020000 0.992115 -nan
0.033333 0.978148 -nan
0.046667 0.957319 -nan
0.060000 0.929776 -nan
0.073333 0.895712 -nan
0.086667 0.855364 -nan
0.100000 0.809017 -nan
0.113333 0.756995 -nan
0.126667 0.699663 -nan
0.140000 0.637424 -nan
0.153333 0.570714 -nan
0.166667 0.500000 -nan
0.180000 0.425779 -nan
0.193333 0.348572 -nan
0.206667 0.268920 -nan
0.220000 0.187381 -nan
0.233333 0.104528 -nan
0.246667 0.020942 -nan
0.260000 -0.062791 -nan
0.273333 -0.146083 -nan
0.286667 -0.228351 -nan
0.300000 -0.309017 -nan
0.313333 -0.387516 -nan
0.326667 -0.463296 -nan
0.340000 -0.535827 -nan
0.353333 -0.604599 -nan
0.366667 -0.669131 -nan
0.380000 -0.728969 -nan
0.393333 -0.783693 -nan
0.406667 -0.832921 -nan
0.420000 -0.876307 -nan
0.433333 -0.913545 -nan
0.446667 -0.944376 -nan
0.460000 -0.968583 -nan
0.473333 -0.985996 -nan
0.486667 -0.996493 -nan
0.500000 -1.000000 -nan
0.513333 -0.996493 -nan
0.526667 -0.985996 -nan
0.540000 -0.968583 -nan
0.553333 -0.944376 -nan
0.566667 -0.913545 -nan
0.580000 -0.876307 -nan
0.593333 -0.832921 -nan
0.606667 -0.783693 -nan
0.620000 -0.728969 -nan
0.633333 -0.669131 -nan
0.646667 -0.604599 -nan
0.660000 -0.535827 -nan
0.673333 -0.463296 -nan
0.686667 -0.387516 -nan
0.700000 -0.309017 -nan
0.713333 -0.228351 -nan
0.726667 -0.146083 -nan
0.740000 -0.062791 -nan
0.753333 0.020942 -nan
0.766667 0.104528 -nan
0.780000 0.187381 -nan
0.793333 0.268920 -nan
0.806667 0.348572 -nan
0.820000 0.425779 -nan
0.833333 0.500000 -nan
0.846667 0.570714 -nan
0.860000 0.637424 -nan
0.873333 0.699663 -nan
0.886667 0.756995 -nan
0.900000 0.809017 -nan
0.913333 0.855364 -nan
0.926667 0.895712 -nan
0.940000 0.929776 -nan
0.953333 0.957319 -nan
0.966667 0.978148 -nan
0.980000 0.992115 -nan
0.993333 0.999123 -nan
